title,description,tags
"AWS Certified Solutions Architect - Associate 2018","Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!","AWS Certification;Amazon AWS"
"Learn Ethical Hacking From Scratch","Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.","Ethical Hacking;Computer Vision;Embedded Systems;Cyber Security;Network Security"
"AWS Certified Developer - Associate 2018","Do you want AWS certification? Do you want to be an AWS Certified Developer Associate? This AWS online course is for you","AWS Certification;Amazon AWS;Oracle Certification;Salesforce Certification;ITIL Certification;Online Business"
"The Complete Ethical Hacking Course: Beginner to Advanced!","Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!","Ethical Hacking;Penetration Testing;Selenium Testing Framework;Unit Testing;API Testing;Kali Linux;Linux;Linux Administration"
"CCNA 2018 200-125 Video Boot Camp With Chris Bryant","You Get My CCNA Security 210-260 Video Boot Camp FREE  When You Join My CCNA 200-125 Video Boot Camp!","Cisco CCNA;Cyber Security;Network Security"
"CompTIA A+ Certification 901. The Total Course","Everything you need to pass the CompTIA A+ 220-901 Exam, from Mike Meyers, CompTIA expert and bestselling author.","CompTIA A+;CompTIA Network+;CompTIA Security+;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"The Complete Salesforce Administrator Certification Course","Salesforce Admin 60 Question Practice Test Included! Join over 38,000 students. Follows the Salesforce Admin Exam Guide.","Salesforce Certification;Salesforce Administration;Oracle Certification;AWS Certification;ITIL Certification"
"The Complete Cyber Security Course : Hackers Exposed!","Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking,  Learn IT Security &  INFOSEC","Cyber Security;Network Security;Ethical Hacking"
"Learn Linux in 5 Days and Level Up Your Career","Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.","Kali Linux;Linux;Linux Administration"
"CompTIA Network+ Cert. (N10-006): The Total Course.","Everything you need to pass the CompTIA Network+ Exam, N10-006 from Mike Meyers, CompTIA expert and bestselling author.","CompTIA A+;CompTIA Network+;CompTIA Security+"
"Blockchain and Bitcoin Fundamentals","Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.","BlockChain"
"Spring Framework Master Class - Beginner to Expert","Learn the magic of Spring Framework in 100 Steps with Spring Boot, Spring JDBC, Spring AOP, JUnit, Mockito and JPA.","Spring Framework"
"Linux Command Line Basics","This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.","Kali Linux;Linux;Linux Administration"
"PLC Programming From Scratch (PLC I)","This course will give a person with no prior experience the basic tools necessary to create  a PLC program from scratch.","PLC"
"AWS Certified SysOps Administrator - Associate 2018","Want to pass the AWS Certified SysOps Administrator Exam? Want to become Amazon Web Services Certified? Do this course!","AWS Certification;Amazon AWS"
"70-535 Architecting Microsoft Azure Solutions","Get Azure certified as an architect in one of Microsoft's newest certifications on the hottest cloud platform Azure.","Microsoft SQL;Microsoft Azure"
"New CCNAx 200-125 Routing and Switching","Includes everything you will need to fully prepare for your new CCNA R/S certification","Cisco CCNA;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Learn Java Unit Testing with JUnit 5 in 20 Steps","JUnit tutorial for Beginners with examples","Java;Unit Testing;Selenium Testing Framework;API Testing;Penetration Testing"
"The Complete Networking Fundamentals Course. Your CCNA start","Learn about networking and start your journey to CCNA","IT Networking Fundamentals;Cisco CCNA"
"CCNP All-in-1 Video Boot Camp With Chris Bryant","Earn Your CCNP With Chris Bryant And Get Security Course FREE! Pass SWITCH 300-115, ROUTE 300-101, and TSHOOT 300-135!","Cyber Security;Network Security"
"Amazon Web Services (AWS) Certified 2018 - 4 Certifications!","Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)","Amazon AWS;AWS Certification"
"Linux Administration Bootcamp: Go from Beginner to Advanced","Learn Red Hat Linux & CentOS: Use the in-demand skills to start a career as a Linux Server Admin or Linux Administrator!","Kali Linux;Linux;Linux Administration;Salesforce Administration;CentOS;SQL Server;Windows Server"
"IP Addressing and Subnetting ","Learn the easy way to subnet ",""
"Cisco CCNA R/S (200-120 & 125): The Complete Course","This complete Cisco CCNA course will cover everything you need to prepare for the 200-120 & the NEW CCNA 200-125","Cisco CCNA"
"Java Web Services","Learn how to design,create , consume and secure SOAP   and REST web services  from scratch in easy steps.","Java;REST API"
"Learn DevOps: The Complete Kubernetes Course","Learn how you can run, deploy, manage and maintain containerized Docker applications on Kubernetes","DevOps;Kubernetes;Docker"
"Cisco CCNA 200-125 – The Complete Guide to Getting Certified","The top rated CCNA course online and only one where the instructor answers all your questions","Cisco CCNA;Online Business"
"70-532 Developing Microsoft Azure Solutions Certification","The most complete course available on the Microsoft Azure updated developer exam and certification.","Microsoft SQL;Microsoft Azure;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Mastering Ansible","A complete guide to configuration management and orchestration with Ansible.","Database Management"
"AWS Certified Solutions Architect - Associate Practice Tests","Final prep for the AWS CSA - A certification exam","AWS Certification;Amazon AWS;Oracle Certification;Salesforce Certification;ITIL Certification"
"The Complete Cyber Security Course : Network Security!","Volume 2 : Network Security, WiFi Security, WiFi Hackers, Firewalls, Wireshark, Secure Networking. + Password Managers","Cyber Security;Network Security;Wireshark;IT Networking Fundamentals"
"70-533 Implementing Microsoft Azure Infrastructure Solutions","Prove your Azure operations and implementation skills to the world.","Microsoft SQL;Microsoft Azure"
"CompTIA A+ Certification 902. The Total Course","Everything you need to pass the CompTIA A+ 220-902 Exam, from Mike Meyers, CompTIA expert and bestselling author.","CompTIA A+;CompTIA Network+;CompTIA Security+;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"ITIL Foundations: Complete ITIL Exam Preparation Course","Your complete resource to passing the ITIL Foundations exam on the first attempt, include 2 realistic practice exams!","ITIL Certification"
"Linux Basics: All You Need To Know To Start","Start Linux, understand Linux and begin your  journey to master Linux.","Kali Linux;Linux;Linux Administration"
