title,description,tags
"The Web Developer Bootcamp","The only course you need to learn web development - HTML, CSS, JS, Node, and More!","HTML;CSS;Node js"
"Complete Python Bootcamp: Go from zero to hero in Python 3","Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!","Python"
"Angular 6 (formerly Angular 2) - The Complete Guide","Master Angular (Angular 2+, incl. Angular 6) and build awesome, reactive web apps with the successor of Angular.js","Angular"
"Complete Java Masterclass - updated for Java 10","Learn to master Java 8 and Java 10 core development step-by-step and make your first unique, advanced program in 30 days","Java"
"Complete C# Unity Developer 2D - Learn to Code Making Games","Game development & design. Learn C# using Unity 4.6, 5 & 2018. Your first 2D Unity games for web, Mac & PC.","C#;Unity;2D Game Development;Game Development Fundamentals;3D Game Development;Mobile Game Development"
"The Complete Web Developer Course 2.0","Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!","HTML;CSS;javaScript;PHP;Python;MySQL"
"Modern React with Redux","Master the fundamentals of React v16.3.2 and Redux as you develop apps with React Router, Webpack, and ES6","React;React Native;Redux;Redux Framework"
"JavaScript: Understanding the Weird Parts","An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.","javaScript"
"The Unreal Engine Developer Course - Learn C++ & Make Games","Learn C++ from scratch. How to make your first video game in Unreal engine. Gain confidence in programming.","Unreal Engine;C++;Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development"
"iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp","Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!","iOS Development;Swift;Xcode"
"The Complete JavaScript Course 2018: Build Real Projects!","Master JavaScript with the most complete course on the market! Projects, challenges, quizzes, ES6+, OOP, AJAX, Webpack","javaScript"
"The Complete Node.js Developer Course (2nd Edition)","Learn Node.js by building real-world applications with Node, Express, MongoDB, Mocha, and more!","Node js;Express Framework;MongoDB"
"The Complete React Native and Redux Course","iOS and Android App Development from scratch - build full React Native mobile apps ridiculously fast!","React;React Native;Redux;Redux Framework;iOS Development;Android Studio;Android Development"
"The Python Mega Course: Build 10 Real World Applications","The only Python course covering web, databases, web scraping, data science, web visualizations, image processing & more!","Python;Data Science;Natural Language Processing"
"Learn and Understand NodeJS","Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.","Deep learning;Express Framework;javaScript"
"Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex)","Vue JS is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!","Node js;javaScript;Frontend Development;Angular;React;React Native"
"Build Responsive Real World Websites with HTML5 and CSS3","The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch. Design AND code a huge project.",""
"C# Basics for Beginners: Learn C# Fundamentals by Coding","Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!","C#"
"React 16 - The Complete Guide (incl. React Router 4 & Redux)","Dive in and learn React from scratch! Learn Reactjs, Redux, React Routing, Animations, Next.js basics and way more!","React;React Native;Redux;Redux Framework"
"Complete Python Masterclass","Python 3 is the in-demand programming language used extensively by Google. Master Python 3 and you’ll be in demand too!","Python;Natural Language Processing;Google Flutter"
"Learn and Understand AngularJS","Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.","javaScript;Landing Page Optimization"
"Selenium WebDriver with Java - Basics to Advanced& Interview","Join with us-"Top Ranked #1 Master Selenium  java course - 44,000+ students learning together with great collaboration","Selenium WebDriver;Selenium Testing Framework;Java;Machine Learning;Deep learning;Mathematics for Machine Learning"
"Automate the Boring Stuff with Python Programming","A practical programming course for office workers, academics, and administrators who want to improve their productivity.","Python"
"The Complete Android N Developer Course","Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!","Android Studio;Android Development"
"Spring & Hibernate for Beginners","Spring Framework 5: Learn Spring Core, Spring AOP, Spring MVC, Spring Security, Spring REST, Hibernate - Most Popular!","Spring Framework;Cyber Security;Network Security;REST API"
